INSERT into orderItems (OrderNumber, itemName, Quantity, Price) VALUES
(0, Sunday Buffet, 3, 60.0),
(1, Sunday Buffet, 3, 60.0),
(2, Sunday Buffet, 1, 20.0),
(3, Sunday Buffet, 3, 60.0),
(4, Sunday Buffet, 1, 20.0),
(5, Sunday Buffet, 1, 20.0),
(6, Sunday Buffet, 1, 20.0),
(7, Sunday Buffet, 5, 100.0),
(8, Sunday Buffet, 4, 80.0),
(9, Sunday Buffet, 5, 100.0),
(10, 'BBQ Pork Chow Mein' , 'oh my god', 'evening', 1, 12.5),
(28, 'Peking Pork Chop' , 'mild', 'evening', 1, 17.5),
(29, 'Egg Flower Soup' , 'mild', 'evening', 1, 7.0),
(29, 'Stir Fried Vegetable' , 'mild', 'evening', 2, 21.0),
(29, 'Chicken Chow Mein' , 'hot', 'evening', 2, 25.0),
(29, 'Salted Pepper Calamari' , 'mild', 'evening', 1, 9.0),
(29, 'Wonton Soup', 'mild', ' children', 1, 3.0),
(29, 'Chicken Chop Suey' , 'hot', 'evening', 1, 13.5),
(30, 'Vegetable Chow Mein' , 'mild', 'evening', 1, 12.5),
(30, 'Pork Chop Suey' , 'piquant', 'evening', 1, 13.5),
(30, 'Pork w. Vegetable' , 'mild', 'evening', 2, 25.0),
(30, 'Chicken Egg Foo Young', 'mild', ' children', 1, 10.5),
(31, 'Moo Shu Shrimp' , 'mild', 'evening', 1, 9.5),
(32, 'Shrimp w. Mixed Vegetable' , 'mild', 'evening', 1, 13.5),
(32, 'Shrimp Chop Suey' , 'oh my god', 'evening', 1, 13.5),
(32, 'Beef Chop Suey' , 'hot', 'evening', 1, 13.5),
(32, 'Beef Egg Foo Young' , 'hot', 'evening', 1, 14.5),
(32, 'Beef Chop Suey', 'mild', ' children', 1, 9.5),
(32, 'Vegetables Chop Suey' , 'piquant', 'evening', 2, 27.0),
(33, 'Shrimp Chow Mein' , 'mild', 'evening', 1, 12.5),
(34, 'BBQ Pork Egg Foo Young',  'oh my god', 'lunch', 2, 23.0),
(34, 'House Special Egg Foo Young',  'tangy', 'lunch', 3, 37.5),
(34, 'Beef Chop Suey',  'oh my god', 'lunch', 1, 10.5),
(34, 'BBQ Pork Chow Mein',  'oh my god', 'lunch', 1, 9.5),
(35, 'Beef Chow Mein',  'piquant', 'lunch', 1, 9.5),
(35, 'Beef Chop Suey', 'mild', ' children', 1, 9.5),
(35, 'Beef Chow Mein',  'hot', 'lunch', 1, 9.5),
(35, 'Beef Chop Suey',  'tangy', 'lunch', 1, 10.5),
(35, 'Beef Egg Foo Young',  'tangy', 'lunch', 1, 11.5),
(36, 'BBQ Pork Egg Foo Young',  'mild', 'lunch', 1, 11.5),
(36, 'BBQ Pork Egg Foo Young', 'mild', ' children', 2, 21.0),
(36, 'Egg Flower Soup',  'mild', 'lunch', 1, 6.0),
(36, 'Chicken Chow Mein',  'piquant', 'lunch', 1, 9.5),
(36, 'Shrimp w. Mixed Vegetable', 'mild', ' children', 1, 9.5),
(37, 'House Special Chop Suey',  'piquant', 'lunch', 1, 11.5),
(37, 'House Special Egg Foo Young',  'hot', 'lunch', 2, 25.0),
(37, 'Beef Chow Mein',  'tangy', 'lunch', 2, 19.0),
(37, 'Chicken Egg Foo Young',  'mild', 'lunch', 1, 11.5),
(37, 'Chicken Egg Foo Young',  'oh my god', 'lunch', 2, 23.0),
(38, 'Shrimp w. Garlic Sauce',  'mild', 'lunch', 1, 11.5),
(38, 'BBQ Pork Chow Mein',  'oh my god', 'lunch', 4, 38.0),
(38, 'Steamed Hams(10)',  'mild', 'lunch', 1, 6.0),
(38, 'Beef Chop Suey', 'mild', ' children', 3, 28.5),
(39, 'Beef Chop Suey',  'piquant', 'lunch', 6, 63.0),
(39, 'Beef w. Mixed Vegetables', 'mild', ' children', 1, 8.5),
(40, 'Beef Chow Mein',  'oh my god', 'lunch', 1, 9.5),
(41, 'Chicken Chop Suey',  'piquant', 'lunch', 2, 21.0),
(41, 'BBQ Pork Chow Mein', 'mild', ' children', 1, 8.5),
(41, 'House Special Chop Suey',  'piquant', 'lunch', 1, 11.5),
(41, 'Pork Chop Suey',  'tangy', 'lunch', 1, 10.5),
(41, 'Chicken Chop Suey',  'oh my god', 'lunch', 1, 10.5),
(41, 'Beef Chow Mein',  'tangy', 'lunch', 2, 19.0),
(42, 'Chicken Egg Foo Young',  'piquant', 'lunch', 3, 34.5),
(42, 'Pork w. Vegetable', 'mild', ' children', 1, 8.5),
(42, 'House Special Chow Mein',  'mild', 'lunch', 3, 31.5),
(42, 'Chicken Chop Suey', 'mild', ' children', 1, 9.5),
(42, 'House Special Chow Mein',  'oh my god', 'lunch', 1, 10.5),
(42, 'Pork Chop Suey',  'oh my god', 'lunch', 1, 10.5),
(43, 'House Special Chop Suey',  'oh my god', 'lunch', 1, 11.5),
(43, 'Beef w. Broccoli',  'mild', 'lunch', 1, 10.5),
(43, 'House Special Chop Suey',  'piquant', 'lunch', 3, 34.5),
(43, 'Chicken Chop Suey',  'piquant', 'lunch', 1, 10.5),
(43, 'Egg Flower Soup', 'mild', ' children', 1, 5.0),
(44, 'Shrimp Chow Mein' , 'hot', 'evening', 6, 75.0),
(45, 'Chicken w. Vegetable' , 'mild', 'evening', 1, 12.5),
(46, 'Shrimp Chow Mein' , 'hot', 'evening', 1, 12.5),
(46, 'Chicken Chop Suey' , 'piquant', 'evening', 1, 13.5),
(46, 'Stir Fried Vegetable', 'mild', ' children', 1, 6.5),
(46, 'Salted Pepper Calamari' , 'mild', 'evening', 1, 9.0),
(46, 'Wonton Soup', 'mild', ' children', 1, 3.0),
(46, 'Vegetable Chow Mein' , 'mild', 'evening', 2, 25.0),
(47, 'Beef Chop Suey' , 'oh my god', 'evening', 6, 81.0),
(47, 'Chicken Chow Mein', 'mild', ' children', 2, 17.0),
(48, 'Salted Pepper Calamari' , 'mild', 'evening', 1, 9.0),
(48, 'Chicken Chop Suey', 'mild', ' children', 1, 9.5),
(48, 'Sweet and Pungent Shrimp' , 'mild', 'evening', 1, 18.5),
(48, 'Beef Chop Suey' , 'hot', 'evening', 1, 13.5),
(48, 'Beef w. Mixed Vegetables' , 'mild', 'evening', 1, 12.5),
(48, 'Shrimp Chop Suey' , 'oh my god', 'evening', 1, 13.5),
(49, 'Vegetable Chow Mein' , 'hot', 'evening', 1, 12.5),
(49, 'Sweet and Pungent Shrimp' , 'mild', 'evening', 1, 18.5),
(49, 'Vegetables Chop Suey' , 'tangy', 'evening', 2, 27.0),
(49, 'Chicken Chow Mein' , 'mild', 'evening', 1, 12.5),
(49, 'Wonton Soup', 'mild', ' children', 1, 3.0),
(49, 'BBQ Pork Egg Foo Young' , 'tangy', 'evening', 1, 14.5),
(50, 'BBQ Pork Chow Mein' , 'oh my god', 'evening', 1, 12.5),
(50, 'Sweet and Pungent Shrimp' , 'mild', 'evening', 1, 18.5),
(50, 'Shrimp Egg Foo Young' , 'tangy', 'evening', 1, 14.5),
(50, 'Sweet and Pungent Shrimp' , 'mild', 'evening', 1, 18.5),
(50, 'Peking Pork Chop' , 'mild', 'evening', 2, 35.0),
(51, 'Pork Chop Suey' , 'hot', 'evening', 2, 27.0),
(51, 'Mongolian Beef' , 'mild', 'evening', 1, 19.0),
(51, 'Chicken Chow Mein' , 'hot', 'evening', 2, 25.0),
(51, 'Vegetables Chop Suey' , 'piquant', 'evening', 2, 27.0),
(51, 'Shrimp Chow Mein' , 'tangy', 'evening', 1, 12.5),
(52, 'Dumpling (Potsitckers)(10)' , 'mild', 'evening', 6, 36.0),
(52, 'Wonton Soup', 'mild', ' children', 5, 15.0),
(53, 'Beef Egg Foo Young' , 'mild', 'evening', 1, 14.5),
(54, 'BBQ Pork Chow Mein' , 'tangy', 'evening', 1, 12.5),
(55, 'Shrimp Chop Suey' , 'oh my god', 'evening', 2, 27.0),
(56, 'Shrimp Chow Mein' , 'tangy', 'evening', 1, 12.5),
(57, 'BBQ Pork Egg Foo Young' , 'piquant', 'evening', 1, 14.5),
(57, 'Chicken Egg Foo Young' , 'mild', 'evening', 4, 58.0),
(57, 'Vegetable Egg Foo Young' , 'mild', 'evening', 1, 14.5),
(58, 'Beef Egg Foo Young' , 'tangy', 'evening', 1, 14.5),
(58, 'Wonton Soup', 'mild', ' children', 1, 3.0),
(58, 'Chicken Chow Mein' , 'piquant', 'evening', 2, 25.0),
(58, 'Stir Fried Vegetable', 'mild', ' children', 2, 13.0),
(58, 'Shrimp Chop Suey' , 'tangy', 'evening', 2, 27.0),
(58, 'Vegetables Chop Suey' , 'piquant', 'evening', 2, 27.0),
(58, 'Beef Chop Suey' , 'oh my god', 'evening', 1, 13.5),
(58, 'Shrimp w. Mixed Vegetable', 'mild', ' children', 1, 9.5),
(59, 'Shrimp Chop Suey' , 'piquant', 'evening', 1, 13.5),
(60, 'Chicken Egg Foo Young' , 'mild', 'evening', 1, 14.5),
(61, 'Beef Chop Suey' , 'oh my god', 'evening', 1, 13.5),
(61, 'Egg Flower Soup', 'mild', ' children', 1, 5.0),
(61, 'Stir Fried Vegetable' , 'mild', 'evening', 2, 21.0),
(61, 'Beef Chow Mein' , 'piquant', 'evening', 1, 12.5),
(61, 'Beef Chop Suey', 'mild', ' children', 1, 9.5),
(61, 'Cashew Shrimp' , 'mild', 'evening', 2, 28.0),
(61, 'Shrimp Chow Mein' , 'mild', 'evening', 1, 12.5),
(62, 'Shrimp Egg Foo Young' , 'tangy', 'evening', 1, 14.5),
(63, 'Beef Egg Foo Young' , 'mild', 'evening', 2, 29.0),
(63, 'Beef Egg Foo Young' , 'hot', 'evening', 1, 14.5),
(63, 'Chicken Chow Mein', 'mild', ' children', 1, 8.5),
(63, 'BBQ Pork Chow Mein' , 'mild', 'evening', 1, 12.5),
(64, 'Vegetable Egg Foo Young' , 'hot', 'evening', 1, 14.5),
(64, 'BBQ Pork Egg Foo Young' , 'mild', 'evening', 1, 14.5),
(64, 'Chicken Chow Mein' , 'oh my god', 'evening', 3, 37.5),
(64, 'Chicken w. Vegetable', 'mild', ' children', 1, 8.5),
(64, 'Chicken Chow Mein' , 'tangy', 'evening', 1, 12.5),
(65, 'Chicken Egg Foo Young',  'tangy', 'lunch', 1, 11.5),
(66, 'House Special Chow Mein',  'tangy', 'lunch', 1, 10.5),
(66, 'Chicken Chow Mein',  'oh my god', 'lunch', 3, 28.5),
(66, 'Chicken Egg Foo Young',  'piquant', 'lunch', 3, 34.5),
(66, 'Chicken Egg Foo Young', 'mild', ' children', 2, 21.0),
(66, 'Wonton Soup',  'mild', 'lunch', 1, 4.0),
(67, 'Beef Egg Foo Young',  'hot', 'lunch', 1, 11.5),
(68, 'House Special Chow Mein',  'tangy', 'lunch', 1, 10.5),
(68, 'Stir Fried Vegetable',  'mild', 'lunch', 1, 8.5),
(68, 'Wonton Soup',  'mild', 'lunch', 1, 4.0),
(68, 'House Special Chop Suey',  'piquant', 'lunch', 3, 34.5),
(69, 'Chicken Chop Suey',  'tangy', 'lunch', 1, 10.5),
(69, 'House Special Chop Suey',  'mild', 'lunch', 1, 11.5),
(69, 'BBQ Pork Chow Mein', 'mild', ' children', 1, 8.5),
(69, 'Beef Chow Mein',  'piquant', 'lunch', 1, 9.5),
(69, 'Beef w. Mixed Vegetables', 'mild', ' children', 1, 8.5),
(69, 'House Special Chow Mein',  'oh my god', 'lunch', 1, 10.5),
(69, 'Beef Chop Suey',  'tangy', 'lunch', 1, 10.5),
(70, 'BBQ Pork Egg Foo Young',  'mild', 'lunch', 1, 11.5),
(70, 'Beef Chow Mein', 'mild', ' children', 3, 25.5),
(70, 'Beef Chow Mein',  'mild', 'lunch', 1, 9.5),
(70, 'Chicken Chop Suey',  'oh my god', 'lunch', 1, 10.5),
(71, 'Chicken Chop Suey',  'mild', 'lunch', 1, 10.5),
(72, 'Beef Chop Suey',  'hot', 'lunch', 1, 10.5),
(73, 'Pork Chop Suey',  'hot', 'lunch', 4, 42.0),
(73, 'House Special Chow Mein',  'tangy', 'lunch', 1, 10.5),
(73, 'Wonton Soup',  'mild', 'lunch', 4, 16.0),
(74, 'Shrimp w. Mixed Vegetable',  'mild', 'lunch', 1, 11.5),
(74, 'Chicken Chow Mein',  'tangy', 'lunch', 2, 19.0),
(74, 'Wonton Soup',  'mild', 'lunch', 4, 16.0),
(75, 'Shrimp w. Mixed Vegetable' , 'mild', 'evening', 1, 13.5),
(76, 'Vegetables Chop Suey' , 'mild', 'evening', 1, 13.5),
(76, 'Vegetable Egg Foo Young' , 'hot', 'evening', 1, 14.5),
(76, 'Vegetable Chow Mein' , 'mild', 'evening', 2, 25.0),
(76, 'BBQ Pork Egg Foo Young' , 'tangy', 'evening', 1, 14.5),
(77, 'Beef Chow Mein' , 'piquant', 'evening', 1, 12.5),
(77, 'BBQ Pork Egg Foo Young', 'mild', ' children', 2, 21.0),
(77, 'General Tsao Chicken' , 'mild', 'evening', 1, 18.0),
(77, 'Chicken Chow Mein' , 'mild', 'evening', 1, 12.5),
(77, 'Beef Chow Mein', 'mild', ' children', 1, 8.5),
(77, 'BBQ Pork Chow Mein' , 'oh my god', 'evening', 1, 12.5),
(78, 'Chicken Chop Suey' , 'tangy', 'evening', 1, 13.5),
(78, 'Chicken Chow Mein' , 'tangy', 'evening', 1, 12.5),
(78, 'Cashew Shrimp' , 'mild', 'evening', 2, 28.0),
(78, 'Vegetable Chow Mein' , 'mild', 'evening', 2, 25.0),
(79, 'Vegetable Egg Foo Young' , 'mild', 'evening', 1, 14.5),
(80, 'Sweet and Pungent Shrimp' , 'mild', 'evening', 1, 18.5),
(80, 'BBQ Pork Chow Mein' , 'tangy', 'evening', 1, 12.5),
(80, 'Chicken Chop Suey' , 'piquant', 'evening', 1, 13.5),
(80, 'BBQ Pork Egg Foo Young', 'mild', ' children', 2, 21.0),
(81, 'Beef Chop Suey' , 'piquant', 'evening', 4, 54.0),
(81, 'Chicken w. Vegetable', 'mild', ' children', 3, 25.5),
(81, 'Chicken Chop Suey' , 'oh my god', 'evening', 1, 13.5),
(81, 'Pork Chop Suey', 'mild', ' children', 1, 9.5),
(81, 'Chicken Egg Foo Young' , 'hot', 'evening', 1, 14.5),
(81, 'Wonton Soup', 'mild', ' children', 1, 3.0),
(82, 'Shrimp Chop Suey' , 'tangy', 'evening', 1, 13.5),
(82, 'BBQ Pork Egg Foo Young' , 'oh my god', 'evening', 2, 29.0),
(82, 'Shrimp Chow Mein' , 'piquant', 'evening', 1, 12.5),
(83, 'Shrimp Egg Foo Young' , 'hot', 'evening', 1, 14.5),
(83, 'Beef w. Mixed Vegetables' , 'mild', 'evening', 4, 50.0),
(83, 'Vegetable Chow Mein' , 'piquant', 'evening', 4, 50.0),
(84, 'Vegetable Egg Foo Young' , 'oh my god', 'evening', 2, 29.0),
(85, 'Beef Egg Foo Young' , 'oh my god', 'evening', 2, 29.0),
(85, 'Beef w. Ginger and Green Onion' , 'mild', 'evening', 1, 14.5),
(85, 'BBQ Pork Chow Mein' , 'oh my god', 'evening', 1, 12.5),
(85, 'Sweet and Pungent Shrimp' , 'mild', 'evening', 1, 18.5),
(85, 'Beef Chow Mein' , 'piquant', 'evening', 1, 12.5),
(85, 'Shrimp w. Mixed Vegetable', 'mild', ' children', 1, 9.5),
(86, 'Vegetables Chop Suey' , 'tangy', 'evening', 1, 13.5),
(86, 'Beef Chop Suey' , 'oh my god', 'evening', 1, 13.5),
(86, 'Pork Chop Suey', 'mild', ' children', 1, 9.5),
(86, 'Stir Fried Vegetable' , 'mild', 'evening', 1, 10.5),
(86, 'BBQ Pork Chow Mein' , 'oh my god', 'evening', 1, 12.5),
(87, 'Shrimp Egg Foo Young' , 'hot', 'evening', 1, 14.5),
(87, 'BBQ Pork Egg Foo Young' , 'oh my god', 'evening', 2, 29.0),
(87, 'Pork w. Vegetable' , 'mild', 'evening', 2, 25.0),
(87, 'BBQ Pork Egg Foo Young', 'mild', ' children', 2, 21.0),
(88, 'Chicken Egg Foo Young' , 'hot', 'evening', 1, 14.5),
(88, 'BBQ Pork Egg Foo Young', 'mild', ' children', 2, 21.0),
(88, 'Beef Chop Suey' , 'hot', 'evening', 1, 13.5),
(88, 'Dumpling (Potsitckers)(10)' , 'mild', 'evening', 1, 6.0),
(88, 'Beef w. Mixed Vegetables', 'mild', ' children', 2, 17.0),
(89, 'Beef w. Mixed Vegetables' , 'mild', 'evening', 1, 12.5),
(89, 'Chicken Chop Suey' , 'mild', 'evening', 1, 13.5),
(89, 'Chicken Chop Suey', 'mild', ' children', 1, 9.5),
(89, 'Chicken Egg Foo Young' , 'tangy', 'evening', 1, 14.5),
(89, 'Beef w. Mixed Vegetables', 'mild', ' children', 1, 8.5),
(89, 'Chicken Chow Mein' , 'mild', 'evening', 1, 12.5),
(89, 'Shrimp w. Mixed Vegetable', 'mild', ' children', 1, 9.5),
(89, 'Chicken Chop Suey' , 'oh my god', 'evening', 2, 27.0),
(89, 'Chicken Chow Mein', 'mild', ' children', 1, 8.5),
(90, 'Beef Egg Foo Young' , 'hot', 'evening', 6, 87.0),
(90, 'Chicken Egg Foo Young', 'mild', ' children', 1, 10.5),
(91, 'Vegetable Chow Mein' , 'piquant', 'evening', 1, 12.5),
(92, 'Sweet and Sour Pork' , 'mild', 'evening', 1, 14.5),
(92, 'Chicken Chow Mein' , 'mild', 'evening', 1, 12.5),
(92, 'Chicken w. Vegetable', 'mild', ' children', 1, 8.5),
(92, 'Chicken Chow Mein' , 'tangy', 'evening', 1, 12.5),
(92, 'Beef w. Mixed Vegetables' , 'mild', 'evening', 1, 12.5),
(93, 'BBQ Pork Chow Mein',  'piquant', 'lunch', 6, 57.0),
(94, 'BBQ Pork Egg Foo Young',  'piquant', 'lunch', 4, 46.0),
(94, 'House Special Egg Foo Young',  'tangy', 'lunch', 2, 25.0),
(94, 'Shrimp w. Garlic Sauce',  'mild', 'lunch', 1, 11.5),
(95, 'BBQ Pork Chow Mein',  'hot', 'lunch', 1, 9.5),
(96, 'House Special Chow Mein',  'mild', 'lunch', 2, 21.0),
(96, 'Beef Chop Suey', 'mild', ' children', 3, 28.5),
(96, 'House Special Egg Foo Young',  'piquant', 'lunch', 1, 12.5),
(96, 'Beef Egg Foo Young',  'hot', 'lunch', 4, 46.0),
(97, 'Beef Chow Mein',  'oh my god', 'lunch', 1, 9.5),
(98, 'House Special Chow Mein',  'oh my god', 'lunch', 2, 21.0),
(99, 'Chicken Egg Foo Young',  'tangy', 'lunch', 1, 11.5),
(100, 'Chicken Chow Mein',  'piquant', 'lunch', 2, 19.0),
(100, 'Chicken Chop Suey', 'mild', ' children', 2, 19.0),
(101, 'Beef Egg Foo Young',  'mild', 'lunch', 4, 46.0),
(101, 'Dumpling (Potsitckers)(10)',  'mild', 'lunch', 1, 6.0),
(101, 'Chicken w. Vegetable', 'mild', ' children', 3, 25.5),
(101, 'Stir Fried Vegetable',  'mild', 'lunch', 4, 34.0),
(102, 'Chicken Chow Mein',  'hot', 'lunch', 1, 9.5),
(102, 'Beef Chow Mein',  'oh my god', 'lunch', 1, 9.5),
(102, 'Chicken Chow Mein',  'tangy', 'lunch', 2, 19.0),
(103, 'Shrimp Chop Suey' , 'oh my god', 'evening', 1, 13.5),
(103, 'Egg Flower Soup' , 'mild', 'evening', 2, 14.0),
(103, 'Beef Chop Suey' , 'mild', 'evening', 1, 13.5),
(103, 'Beef w. Mixed Vegetables', 'mild', ' children', 2, 17.0),
(104, 'Curry Chicken' , 'mild', 'evening', 2, 29.0),
(104, 'Beef Chop Suey', 'mild', ' children', 1, 9.5),
(104, 'Shrimp Chow Mein' , 'piquant', 'evening', 1, 12.5),
(104, 'Shrimp Chow Mein' , 'hot', 'evening', 1, 12.5),
(104, 'Dumpling (Potsitckers)(10)',  'mild', 'lunch', 1, 6.0),
(104, 'Chicken Chow Mein', 'mild', ' children', 1, 8.5),
(104, 'Chicken Chow Mein',  'hot', 'lunch', 2, 19.0),
(105, 'Pork Chop Suey' , 'mild', 'evening', 4, 54.0),
(105, 'Dumpling (Potsitckers)(10)' , 'mild', 'evening', 1, 6.0),
(105, 'Egg Flower Soup', 'mild', ' children', 1, 5.0),
(105, 'Shrimp Chow Mein' , 'piquant', 'evening', 1, 12.5),
(106, 'Pork Chop Suey' , 'hot', 'evening', 1, 13.5),
(107, 'Egg Flower Soup' , 'mild', 'evening', 3, 21.0),
(107, 'Cashew Shrimp' , 'mild', 'evening', 2, 28.0),
(107, 'Chicken Chow Mein' , 'oh my god', 'evening', 3, 37.5),
(107, 'Beef Chow Mein', 'mild', ' children', 1, 8.5),
(107, 'Chicken w. Vegetable' , 'mild', 'evening', 1, 12.5),
(108, 'Vegetable Chow Mein' , 'tangy', 'evening', 1, 12.5),
(109, 'Shrimp w. Mixed Vegetable' , 'mild', 'evening', 1, 13.5),
(110, 'BBQ Pork Chow Mein' , 'piquant', 'evening', 1, 12.5),
(111, 'Dumpling (Potsitckers)(10)' , 'mild', 'evening', 1, 6.0),
(111, 'Egg Flower Soup', 'mild', ' children', 1, 5.0),
(111, 'Egg Flower Soup' , 'mild', 'evening', 1, 7.0),
(111, 'Chicken Chop Suey' , 'oh my god', 'evening', 2, 27.0),
(111, 'Egg Flower Soup', 'mild', ' children', 1, 5.0),
(111, 'Beef Chow Mein' , 'oh my god', 'evening', 2, 25.0),
(111, 'Chicken w. Vegetable', 'mild', ' children', 1, 8.5),
(111, 'Chicken Egg Foo Young' , 'tangy', 'evening', 1, 14.5),
(111, 'Beef Egg Foo Young', 'mild', ' children', 2, 21.0),
(112, 'Sweet and Pungent Shrimp' , 'mild', 'evening', 6, 111.0),
(113, 'Cashew Shrimp' , 'mild', 'evening', 1, 14.0),
(113, 'Chicken Chow Mein' , 'oh my god', 'evening', 2, 25.0),
(113, 'Chicken Chow Mein', 'mild', ' children', 1, 8.5),
(113, 'BBQ Pork Egg Foo Young' , 'tangy', 'evening', 1, 14.5),
(114, 'Vegetable Egg Foo Young' , 'piquant', 'evening', 1, 14.5),
(114, 'Beef w. Mixed Vegetables' , 'mild', 'evening', 1, 12.5),
(114, 'BBQ Pork Chow Mein' , 'hot', 'evening', 1, 12.5),
(114, 'Chicken Chow Mein' , 'oh my god', 'evening', 1, 12.5),
(114, 'Chicken Chow Mein', 'mild', ' children', 1, 8.5),
(114, 'Beef Chop Suey' , 'oh my god', 'evening', 1, 13.5),
(114, 'Egg Flower Soup', 'mild', ' children', 1, 5.0),
(115, 'Vegetable Egg Foo Young' , 'tangy', 'evening', 1, 14.5),
(116, 'Shrimp Chow Mein' , 'tangy', 'evening', 1, 12.5),
(116, 'Cashew Shrimp' , 'mild', 'evening', 2, 28.0),
(116, 'Beef Chop Suey' , 'mild', 'evening', 2, 27.0),
(116, 'Pork w. Vegetable', 'mild', ' children', 1, 8.5),
(116, 'Salted Pepper Calamari' , 'mild', 'evening', 1, 9.0),
(116, 'Shrimp w. Mixed Vegetable', 'mild', ' children', 2, 19.0),
(117, 'Vegetable Egg Foo Young' , 'mild', 'evening', 2, 29.0),
