INSERT into payments (OrderNumber, paymentType, CID, AmountPaid, Gratuity) VALUES
(71, cash, 279, 24.25, 0.0),
(72, cash, 513, 3.50, 0.0),
(72, debit, 513, 3.50, 0.0),
(73, cash, 800, 88.5, 0.0),
(74, cash, 703, 89.0, 0.0),
(75, credit card, 112, 39.0, 0.0),
(76, cash, 980, 14.5, 0.0),
(77, debit, 40, 85.0, 0.0),
(78, debit, 795, 55.5, 0.0),
(79, credit, 204, 26.70, 2.00),
(79, cash, 204, 26.70, 2.00),
(79, cash, 204, 26.70, 2.00),
(79, debit, 204, 26.70, 2.00),
(79, debit, 204, 26.70, 2.00),
(80, cash, 967, 19.00, 0.0),
(80, credit, 967, 19.00, 0.0),
(81, cash, 774, 45.5, 0.0),
(82, debit, 307, 34.25, 0.0),
(82, credit, 307, 34.25, 0.0),
(83, credit card, 361, 54.0, 0.0),
(84, credit card, 537, 91.5, 0.0),
(85, credit card, 650, 27.0, 0.0),
(86, debit, 904, 43.50, 0.0),
(86, debit, 904, 43.50, 0.0),
(87, cash, 158, 6.75, 0.0),
(87, cash, 158, 6.75, 0.0),
(88, debit, 89, 85.0, 0.0),
(89, credit, 546, 68.5, 0.0),
(90, debit, 383, 6.25, 0.0),
(90, cash, 383, 6.25, 0.0),
(91, debit, 712, 88.0, 0.0),
(92, debit, 673, 27.0, 0.0),
(93, cash, 40, 128.5, 0.0),
(94, debit, 133, 30.25, 0.0),
(94, cash, 133, 30.25, 0.0),
(95, cash, 761, 111.5, 0.0),
(96, cash, 988, 68.0, 0.0),
(97, credit, 263, 86.5, 0.0),
(98, cash, 675, 56.0, 0.0),
(99, credit card, 844, 21.0, 0.0),
(100, cash, 909, 67.0, 0.0),
(101, credit, 777, 66.0, 0.0),
(102, cash, 427, 66.0, 0.0),
(103, cash, 275, 72.5, 0.0),
(104, credit, 838, 63.0, 0.0),
(105, debit, 880, 10.50, 0.0),
(105, credit, 880, 10.50, 0.0),
(106, cash, 417, 15.60, 2.00),
(106, cash, 417, 15.60, 2.00),
(106, credit, 417, 15.60, 2.00),
(106, debit, 417, 15.60, 2.00),
(106, credit, 417, 15.60, 2.00),
(107, credit, 113, 1.90, 2.00),
(107, debit, 113, 1.90, 2.00),
(107, cash, 113, 1.90, 2.00),
(107, cash, 113, 1.90, 2.00),
(107, debit, 113, 1.90, 2.00),
(108, cash, 567, 4.75, 0.0),
(108, debit, 567, 4.75, 0.0),
(109, debit, 379, 142.5, 0.0),
(110, credit, 80, 12.5, 0.0),
(111, cash, 104, 85.5, 0.0),
(112, debit, 53, 2.70, 2.00),
(112, cash, 53, 2.70, 2.00),
(112, debit, 53, 2.70, 2.00),
(112, debit, 53, 2.70, 2.00),
(112, cash, 53, 2.70, 2.00),
(113, credit, 172, 141.5, 0.0),
(114, debit, 268, 127.0, 0.0),
(115, cash, 749, 13.5, 0.0),
(116, cash, 735, 14.5, 0.0),
(117, cash, 175, 44.75, 0.0),
(117, credit, 175, 44.75, 0.0),
(118, debit, 64, 1.90, 2.00),
(118, cash, 64, 1.90, 2.00),
(118, cash, 64, 1.90, 2.00),
(118, debit, 64, 1.90, 2.00),
(118, debit, 64, 1.90, 2.00),
(119, credit card, 259, 103.0, 0.0),
(120, debit, 304, 30.25, 0.0),
(120, debit, 304, 30.25, 0.0),
(121, cash, 294, 14.5, 0.0),
(122, credit, 840, 80.5, 0.0),
(123, credit, 617, 72.0, 0.0),
(124, cash, 729, 21.0, 0.0),
(125, credit card, 35, 81.0, 0.0),
(126, credit, 462, 41.00, 0.0),
(126, cash, 462, 41.00, 0.0),
(127, credit card, 166, 72.0, 0.0),
(128, credit card, 30, 126.5, 0.0),
(129, credit card, 805, 14.5, 0.0),
(130, debit, 290, 40.50, 0.0),
(130, cash, 290, 40.50, 0.0),
(131, cash, 749, 43.25, 0.0),
(131, credit, 749, 43.25, 0.0),
(132, credit, 371, 6.25, 0.0),
(132, debit, 371, 6.25, 0.0),
(133, debit, 581, 5.75, 0.0),
(133, cash, 581, 5.75, 0.0),
(134, credit card, 910, 89.0, 0.0),
(135, debit, 831, 16.75, 0.0),
(135, cash, 831, 16.75, 0.0),
(136, credit card, 129, 58.5, 0.0),
(137, cash, 894, 31.75, 0.0),
(137, debit, 894, 31.75, 0.0),
(138, debit, 549, 4.75, 0.0),
(138, cash, 549, 4.75, 0.0),
(139, debit, 224, 32.00, 0.0),
(139, cash, 224, 32.00, 0.0),
(140, cash, 979, 10.5, 0.0),
(141, cash, 132, 61.5, 0.0),
(142, cash, 617, 82.5, 0.0),
(143, credit card, 658, 10.5, 0.0),
(144, cash, 996, 49.5, 0.0),
(145, credit, 423, 64.50, 0.0),
(145, debit, 423, 64.50, 0.0),
(146, credit card, 293, 12.5, 0.0),
(147, debit, 952, 44.00, 0.0),
(147, debit, 952, 44.00, 0.0),
(148, debit, 438, 27.00, 0.0),
(148, debit, 438, 27.00, 0.0),
(149, debit, 483, 13.5, 0.0),
(150, debit, 444, 13.5, 0.0),
(151, debit, 563, 12.50, 0.0),
(151, cash, 563, 12.50, 0.0),
(152, debit, 644, 6.75, 0.0),
(152, cash, 644, 6.75, 0.0),
(153, credit, 179, 46.00, 0.0),
(153, debit, 179, 46.00, 0.0),
(154, cash, 63, 2.50, 0.0),
(154, cash, 63, 2.50, 0.0),
(155, debit, 15, 13.5, 0.0),
(156, debit, 480, 30.0, 0.0),
(157, debit, 776, 53.5, 0.0),
(158, credit card, 986, 72.5, 0.0),
(159, debit, 158, 21.0, 0.0),
(160, debit, 100, 37.75, 0.0),
(160, debit, 100, 37.75, 0.0),
(161, cash, 821, 69.0, 0.0),
(162, cash, 23, 53.0, 0.0),
(163, credit, 843, 14.10, 2.00),
(163, cash, 843, 14.10, 2.00),
(163, credit, 843, 14.10, 2.00),
(163, debit, 843, 14.10, 2.00),
(163, cash, 843, 14.10, 2.00),
(164, cash, 727, 10.5, 0.0),
(165, debit, 256, 32.5, 0.0),
(166, credit card, 484, 70.5, 0.0),
(167, cash, 522, 38.50, 0.0),
(167, debit, 522, 38.50, 0.0),
(168, credit card, 361, 85.0, 0.0),
(169, cash, 337, 29.25, 0.0),
(169, cash, 337, 29.25, 0.0),
(170, credit, 526, 30.75, 0.0),
(170, cash, 526, 30.75, 0.0),
(171, debit, 297, 22.0, 0.0),
(172, debit, 394, 53.0, 0.0),
(173, cash, 968, 2.50, 0.0),
(173, debit, 968, 2.50, 0.0),
(174, debit, 192, 43.50, 0.0),
(174, cash, 192, 43.50, 0.0),
(175, credit, 372, 103.5, 0.0),
(176, debit, 514, 7.25, 0.0),
(176, debit, 514, 7.25, 0.0),
(177, credit card, 613, 118.5, 0.0),
(178, credit, 978, 6.75, 0.0),
(178, credit, 978, 6.75, 0.0),
(179, debit, 681, 76.0, 0.0),
(180, credit card, 987, 61.5, 0.0),
(181, cash, 130, 7.25, 0.0),
(181, cash, 130, 7.25, 0.0),
(182, debit, 212, 12.50, 0.0),
(182, debit, 212, 12.50, 0.0),
(183, cash, 537, 92.0, 0.0),
(184, debit, 76, 27.33, 3.33),
(184, cash, 76, 27.33, 3.33),
(184, debit, 76, 27.33, 3.33),
(185, cash, 114, 94.5, 0.0),
(186, debit, 159, 10.5, 0.0),
(187, debit, 299, 50.5, 0.0),
(188, debit, 131, 22.33, 3.33),
(188, debit, 131, 22.33, 3.33),
(188, cash, 131, 22.33, 3.33),
(189, cash, 699, 63.0, 0.0),
(190, debit, 896, 10.5, 0.0),
(191, cash, 972, 5.25, 0.0),
(191, credit, 972, 5.25, 0.0),
(192, debit, 7, 21.0, 0.0),
(193, cash, 53, 9.5, 0.0),
(194, credit, 732, 41.00, 0.0),
(194, cash, 732, 41.00, 0.0),
(195, debit, 856, 19.63, 2.50),
(195, credit, 856, 19.63, 2.50),
(195, debit, 856, 19.63, 2.50),
(195, cash, 856, 19.63, 2.50),
(196, cash, 444, 13.5, 0.0),
(197, debit, 839, 13.50, 0.0),
(197, cash, 839, 13.50, 0.0),
(198, credit, 605, 14.50, 0.0),
(198, debit, 605, 14.50, 0.0),
(199, credit, 70, 89.0, 0.0),
(200, debit, 797, 90.5, 0.0),
(201, cash, 104, 33.0, 0.0),
(202, cash, 98, 119.0, 0.0),
(203, cash, 918, 88.0, 0.0),
(204, debit, 10, 19.75, 0.0),
(204, debit, 10, 19.75, 0.0),
(205, debit, 326, 17.5, 0.0),
(206, credit card, 456, 13.5, 0.0),
(207, cash, 461, 79.5, 0.0),
(208, cash, 421, 37.50, 0.0),
(208, debit, 421, 37.50, 0.0),
(209, cash, 76, 110.5, 0.0),
(210, cash, 921, 22.0, 0.0),
(211, credit, 149, 7.0, 0.0),
(212, cash, 945, 43.50, 0.0),
(212, cash, 945, 43.50, 0.0),
(213, credit, 164, 14.5, 0.0),
(214, cash, 144, 132.0, 0.0),
(215, debit, 496, 27.5, 0.0),
(216, cash, 360, 13.5, 0.0),
(217, debit, 545, 6.75, 0.0),
(217, cash, 545, 6.75, 0.0),
(218, cash, 303, 33.33, 3.33),
(218, cash, 303, 33.33, 3.33),
(218, debit, 303, 33.33, 3.33),
(219, debit, 476, 20.0, 0.0),
(220, debit, 100, 20.0, 0.0),
(221, debit, 142, 20.0, 0.0),
(222, cash, 98, 10.00, 0.0),
(222, cash, 98, 10.00, 0.0),
(223, debit, 550, 10.00, 0.0),
(223, credit, 550, 10.00, 0.0),
(224, debit, 321, 60.0, 0.0),
(225, cash, 53, 10.00, 0.0),
(225, debit, 53, 10.00, 0.0),
(226, credit, 138, 60.0, 0.0),
(227, cash, 335, 100.0, 0.0),
(228, debit, 843, 25.75, 2.50),
(228, debit, 843, 25.75, 2.50),
(228, debit, 843, 25.75, 2.50),
(228, cash, 843, 25.75, 2.50),
(229, debit, 491, 119.5, 0.0),
(230, cash, 420, 68.5, 0.0),
(231, credit, 94, 22.83, 3.33),
(231, cash, 94, 22.83, 3.33),
(231, cash, 94, 22.83, 3.33),
(232, debit, 17, 12.5, 0.0),
(233, credit card, 794, 25.0, 0.0),
(234, cash, 930, 14.5, 0.0),
(235, debit, 668, 49.50, 0.0),
(235, cash, 668, 49.50, 0.0),
(236, credit, 747, 13.5, 0.0),
(237, cash, 41, 71.0, 0.0),
(238, cash, 811, 23.0, 0.0),
(239, debit, 672, 68.75, 0.0),
(239, cash, 672, 68.75, 0.0),
(240, credit card, 464, 126.0, 0.0),
(241, cash, 353, 87.0, 0.0),
(242, credit, 781, 4.50, 3.33),
(242, cash, 781, 4.50, 3.33),
(242, credit, 781, 4.50, 3.33),
(243, credit card, 342, 12.5, 0.0),
(244, cash, 638, 14.5, 0.0),
(245, credit card, 676, 132.0, 0.0),
(246, cash, 887, 14.5, 0.0),
(247, credit, 633, 38.50, 0.0),
(247, debit, 633, 38.50, 0.0),
(248, credit card, 635, 90.5, 0.0),
(249, debit, 809, 37.5, 0.0),
(250, cash, 988, 50.50, 0.0),
(250, debit, 988, 50.50, 0.0),
(251, credit, 381, 29.0, 0.0),
(252, cash, 932, 107.0, 0.0),
(253, cash, 302, 42.5, 0.0),
(254, debit, 796, 107.0, 0.0),
(255, credit, 278, 5.00, 2.50),
(255, credit, 278, 5.00, 2.50),
(255, debit, 278, 5.00, 2.50),
(255, credit, 278, 5.00, 2.50),
(256, cash, 70, 9.5, 0.0),
(257, cash, 420, 101.5, 0.0),
(258, credit card, 202, 74.5, 0.0),
(259, cash, 595, 30.75, 0.0),
(259, cash, 595, 30.75, 0.0),
(260, cash, 583, 9.5, 0.0),
(261, debit, 794, 10.5, 0.0),
(262, debit, 263, 86.0, 0.0),
(263, debit, 466, 23.0, 0.0),
(264, cash, 371, 69.0, 0.0),
(265, credit, 983, 14.50, 0.0),
(265, credit, 983, 14.50, 0.0),
(266, credit card, 376, 83.0, 0.0),
(267, debit, 876, 119.5, 0.0),
(268, credit card, 43, 96.5, 0.0),
(269, debit, 570, 93.5, 0.0),
(270, debit, 36, 99.0, 0.0),
(271, cash, 80, 84.5, 0.0),
(272, credit, 998, 49.50, 0.0),
(272, cash, 998, 49.50, 0.0),
(273, credit, 651, 37.5, 0.0),
(274, cash, 549, 104.0, 0.0),
(275, credit, 440, 3.38, 2.50),
(275, cash, 440, 3.38, 2.50),
(275, debit, 440, 3.38, 2.50),
(275, cash, 440, 3.38, 2.50),
(276, cash, 236, 16.0, 0.0),
(277, credit, 271, 89.5, 0.0),
(278, debit, 514, 63.0, 0.0),
(279, cash, 320, 25.0, 0.0),
(280, cash, 499, 74.5, 0.0),
(281, debit, 99, 9.5, 0.0),
(282, cash, 698, 90.5, 0.0),
(283, debit, 881, 44.5, 0.0),
(284, credit card, 43, 95.5, 0.0),
(285, credit, 780, 34.50, 0.0),
(285, cash, 780, 34.50, 0.0),
(286, debit, 629, 3.00, 2.50),
(286, debit, 629, 3.00, 2.50),
(286, debit, 629, 3.00, 2.50),
(286, debit, 629, 3.00, 2.50),
(287, credit, 229, 11.5, 0.0),
(288, debit, 618, 73.5, 0.0),
(289, cash, 639, 12.5, 0.0),
(290, credit card, 31, 13.5, 0.0),
(291, credit card, 482, 113.5, 0.0),
(292, credit, 475, 1.90, 2.00),
(292, cash, 475, 1.90, 2.00),
(292, debit, 475, 1.90, 2.00),
(292, debit, 475, 1.90, 2.00),
(292, debit, 475, 1.90, 2.00),
(293, credit card, 679, 14.5, 0.0),
(294, cash, 212, 55.0, 0.0),
(295, credit, 897, 19.25, 0.0),
(295, cash, 897, 19.25, 0.0),
(296, debit, 5, 37.50, 0.0),
(296, credit, 5, 37.50, 0.0),
(297, credit, 295, 30.33, 3.33),
(297, debit, 295, 30.33, 3.33),
(297, debit, 295, 30.33, 3.33),
(298, credit card, 828, 90.5, 0.0),
(299, credit, 450, 85.0, 0.0),
(300, credit card, 485, 75.0, 0.0),
(301, debit, 19, 87.0, 0.0),
(302, cash, 880, 91.5, 0.0),
(303, credit card, 526, 73.5, 0.0),
(304, credit card, 384, 12.5, 0.0),
(305, credit card, 782, 43.5, 0.0),
(306, credit, 947, 91.5, 0.0),
(307, cash, 130, 91.0, 0.0),
(308, cash, 15, 90.5, 0.0),
(309, debit, 562, 42.75, 0.0),
(309, cash, 562, 42.75, 0.0),
(310, debit, 53, 49.75, 0.0),
(310, credit, 53, 49.75, 0.0),
(311, debit, 783, 10.5, 0.0),
(312, credit, 858, 52.5, 0.0),
(313, cash, 166, 50.5, 0.0),
(314, cash, 680, 19.00, 0.0),
(314, debit, 680, 19.00, 0.0),
(315, credit, 221, 99.0, 0.0),
(316, credit, 505, 9.5, 0.0),
(317, credit, 589, 58.5, 0.0),
(318, credit card, 692, 21.0, 0.0),
(319, credit, 526, 63.0, 0.0),
(320, cash, 165, 20.0, 0.0),
(321, credit, 661, 85.0, 0.0),
(322, cash, 825, 13.5, 0.0),
(323, credit card, 800, 102.0, 0.0),
(324, debit, 791, 4.75, 0.0),
(324, debit, 791, 4.75, 0.0),
(325, cash, 640, 87.0, 0.0),
(326, cash, 471, 38.5, 0.0),
(327, cash, 37, 87.0, 0.0),
(328, credit card, 486, 92.5, 0.0),
(329, credit, 5, 43.50, 0.0),
(329, cash, 5, 43.50, 0.0),
(330, debit, 40, 113.5, 0.0),
(331, debit, 694, 42.0, 0.0),
(332, credit card, 636, 14.5, 0.0),
(333, cash, 983, 12.5, 0.0),
(334, cash, 619, 57.0, 0.0),
(335, credit card, 802, 78.0, 0.0),
(336, credit, 585, 86.0, 0.0),
(337, cash, 4, 6.75, 0.0),
(337, cash, 4, 6.75, 0.0),
(338, credit card, 290, 81.0, 0.0),
(339, credit card, 971, 13.5, 0.0),
(340, debit, 965, 80.5, 0.0),
(341, cash, 334, 14.5, 0.0),
(342, credit card, 508, 27.0, 0.0),
(343, credit card, 793, 77.0, 0.0),
(344, credit card, 498, 57.0, 0.0),
(345, cash, 422, 30.5, 0.0),
(346, debit, 211, 24.75, 0.0),
(346, cash, 211, 24.75, 0.0),
(347, credit, 723, 74.5, 0.0),
(348, credit, 295, 89.0, 0.0),
(349, credit card, 738, 12.5, 0.0),
(350, credit card, 830, 10.5, 0.0),
(351, credit, 668, 69.0, 0.0),
(352, credit, 276, 7.00, 3.33),
(352, debit, 276, 7.00, 3.33),
(352, cash, 276, 7.00, 3.33),
(353, debit, 309, 57.5, 0.0),
(354, cash, 742, 19.30, 2.00),
(354, debit, 742, 19.30, 2.00),
(354, debit, 742, 19.30, 2.00),
(354, cash, 742, 19.30, 2.00),
(354, debit, 742, 19.30, 2.00),
(355, credit card, 656, 85.5, 0.0),
(356, cash, 411, 12.40, 2.00),
(356, cash, 411, 12.40, 2.00),
(356, debit, 411, 12.40, 2.00),
(356, cash, 411, 12.40, 2.00),
(356, cash, 411, 12.40, 2.00),
(357, credit, 492, 59.5, 0.0),
(358, debit, 485, 12.5, 0.0),
(359, debit, 648, 12.5, 0.0),
(360, credit card, 395, 79.0, 0.0),
(361, cash, 960, 41.50, 0.0),
(361, debit, 960, 41.50, 0.0),
(362, cash, 835, 131.0, 0.0),
(363, debit, 175, 23.63, 2.50),
(363, credit, 175, 23.63, 2.50),
(363, credit, 175, 23.63, 2.50),
(363, debit, 175, 23.63, 2.50),
(364, credit, 223, 7.25, 2.50),
(364, cash, 223, 7.25, 2.50),
(364, debit, 223, 7.25, 2.50),
(364, credit, 223, 7.25, 2.50),
(365, credit card, 45, 13.5, 0.0),
(366, credit, 300, 134.0, 0.0),
(367, cash, 111, 124.5, 0.0),
(368, credit, 868, 111.0, 0.0),
(369, debit, 823, 12.5, 0.0),
(370, cash, 574, 42.75, 0.0),
(370, debit, 574, 42.75, 0.0),
(371, debit, 640, 92.0, 0.0),
(372, cash, 169, 80.0, 0.0),
(373, credit card, 36, 34.5, 0.0),
(374, debit, 646, 10.5, 0.0),
(375, credit, 467, 54.5, 0.0),
(376, credit, 967, 101.0, 0.0),
(377, cash, 643, 9.5, 0.0),
(378, credit card, 249, 89.0, 0.0),
(379, debit, 558, 28.25, 0.0),
(379, credit, 558, 28.25, 0.0),
(380, cash, 436, 38.00, 0.0),
(380, cash, 436, 38.00, 0.0),
(381, debit, 849, 34.50, 0.0),
(381, credit, 849, 34.50, 0.0),
(382, credit card, 327, 36.5, 0.0),
(383, credit card, 385, 12.5, 0.0),
(384, credit card, 582, 54.5, 0.0),
(385, credit card, 437, 14.5, 0.0),
(386, credit, 438, 20.75, 0.0),
(386, cash, 438, 20.75, 0.0),
(387, credit card, 537, 54.0, 0.0),
(388, credit, 301, 14.5, 0.0),
(389, debit, 815, 12.5, 0.0),
(390, debit, 84, 12.5, 0.0),
(391, credit, 613, 52.0, 0.0),
(392, credit card, 967, 109.0, 0.0),
(393, debit, 947, 122.5, 0.0),
(394, debit, 424, 68.0, 0.0),
(395, debit, 83, 40.50, 0.0),
(395, credit, 83, 40.50, 0.0),
(396, debit, 673, 6.75, 0.0),
(396, debit, 673, 6.75, 0.0),
(397, cash, 353, 76.0, 0.0),
(398, debit, 929, 2.50, 2.00),
(398, credit, 929, 2.50, 2.00),
(398, cash, 929, 2.50, 2.00),
(398, cash, 929, 2.50, 2.00),
(398, cash, 929, 2.50, 2.00),
(399, credit card, 104, 13.5, 0.0),
(400, cash, 60, 116.5, 0.0),
(401, credit, 961, 40.0, 0.0),
(402, credit card, 336, 104.0, 0.0),
(403, debit, 536, 48.0, 0.0),
(404, debit, 376, 23.0, 0.0),
(405, debit, 308, 9.70, 2.00),
(405, cash, 308, 9.70, 2.00),
(405, credit, 308, 9.70, 2.00),
(405, debit, 308, 9.70, 2.00),
(405, credit, 308, 9.70, 2.00),
(406, cash, 148, 12.75, 2.50),
(406, credit, 148, 12.75, 2.50),
(406, debit, 148, 12.75, 2.50),
(406, cash, 148, 12.75, 2.50),
(407, cash, 842, 6.25, 0.0),
(407, debit, 842, 6.25, 0.0),
(408, debit, 605, 59.5, 0.0),
(409, cash, 685, 9.5, 0.0),
(410, debit, 144, 48.75, 0.0),
(410, cash, 144, 48.75, 0.0),
(411, credit card, 339, 14.5, 0.0),
(412, cash, 800, 103.0, 0.0),
(413, credit card, 87, 13.5, 0.0),
(414, cash, 912, 49.0, 0.0),
(415, credit card, 587, 69.0, 0.0),
(416, credit, 447, 79.5, 0.0),
(417, debit, 775, 9.5, 0.0),
(418, cash, 491, 31.75, 0.0),
(418, debit, 491, 31.75, 0.0),
(419, cash, 706, 48.0, 0.0),
(420, credit, 372, 29.5, 0.0),
(421, credit, 758, 3.83, 3.33),
(421, debit, 758, 3.83, 3.33),
(421, credit, 758, 3.83, 3.33),
(422, debit, 827, 2.00, 0.0),
(422, debit, 827, 2.00, 0.0),
(423, cash, 173, 49.5, 0.0),
(424, debit, 370, 10.5, 0.0),
(425, cash, 2, 49.75, 0.0),
(425, debit, 2, 49.75, 0.0),
(426, credit card, 648, 94.0, 0.0),
(427, cash, 347, 47.0, 0.0),
(428, debit, 24, 12.5, 0.0),
(429, debit, 96, 11.75, 2.50),
(429, debit, 96, 11.75, 2.50),
(429, debit, 96, 11.75, 2.50),
(429, cash, 96, 11.75, 2.50),
(430, debit, 309, 38.83, 3.33),
(430, debit, 309, 38.83, 3.33),
(430, credit, 309, 38.83, 3.33),
(431, cash, 394, 4.83, 3.33),
(431, cash, 394, 4.83, 3.33),
(431, cash, 394, 4.83, 3.33),
(432, debit, 513, 6.25, 0.0),
(432, credit, 513, 6.25, 0.0),
(433, cash, 540, 49.00, 0.0),
(433, debit, 540, 49.00, 0.0),
(434, debit, 783, 39.00, 0.0),
(434, cash, 783, 39.00, 0.0),
(435, credit card, 180, 94.5, 0.0),
(436, cash, 40, 4.17, 3.33),
(436, debit, 40, 4.17, 3.33),
(436, debit, 40, 4.17, 3.33),
(437, cash, 911, 18.25, 2.50),
(437, credit, 911, 18.25, 2.50),
(437, credit, 911, 18.25, 2.50),
(437, debit, 911, 18.25, 2.50),
(438, credit, 408, 104.0, 0.0),
(439, cash, 284, 45.25, 0.0),
(439, debit, 284, 45.25, 0.0),
(440, debit, 635, 10.5, 0.0),
(441, credit, 897, 93.5, 0.0),
(442, debit, 155, 54.0, 0.0),
(443, cash, 271, 25.75, 0.0),
(443, cash, 271, 25.75, 0.0),
(444, cash, 679, 30.00, 0.0),
(444, cash, 679, 30.00, 0.0),
(445, credit, 62, 10.00, 0.0),
(445, cash, 62, 10.00, 0.0),
(446, cash, 419, 60.0, 0.0),
(447, cash, 387, 20.0, 0.0),
(448, credit, 619, 100.0, 0.0),
(449, debit, 242, 20.0, 0.0),
(450, cash, 325, 30.00, 0.0),
(450, debit, 325, 30.00, 0.0),
(451, credit, 365, 80.0, 0.0),
(452, debit, 3, 10.00, 0.0),
(452, debit, 3, 10.00, 0.0),
(453, debit, 387, 50.00, 0.0),
(453, debit, 387, 50.00, 0.0),
(454, credit card, 590, 137.0, 0.0),
(455, cash, 729, 77.75, 0.0),
(455, cash, 729, 77.75, 0.0),
(456, cash, 643, 3.38, 2.50),
(456, debit, 643, 3.38, 2.50),
(456, credit, 643, 3.38, 2.50),
(456, cash, 643, 3.38, 2.50),
(457, cash, 579, 43.75, 0.0),
(457, cash, 579, 43.75, 0.0),
(458, credit, 778, 29.5, 0.0),
(459, credit card, 937, 92.5, 0.0),
(460, cash, 961, 92.0, 0.0),
(461, cash, 313, 18.00, 0.0),
(461, credit, 313, 18.00, 0.0),
(462, debit, 332, 13.5, 0.0),
(463, credit, 744, 77.0, 0.0),
(464, cash, 702, 85.0, 0.0),
(465, cash, 883, 8.00, 0.0),
(465, debit, 883, 8.00, 0.0),
(466, cash, 634, 37.75, 0.0),
(466, debit, 634, 37.75, 0.0),
(467, credit, 227, 70.0, 0.0),
